,Time,K,N,Learning Rate,Train AUC,Test AUC
85,0.8279810960000304,6,9,0.01,0.886900007724762,0.8048999905586243
86,1.270232104999991,7,9,0.01,0.8871999979019165,0.8039000034332275
87,0.8346744309999394,8,9,0.01,0.8880000114440918,0.8058000206947327
88,1.0351498960000072,9,9,0.01,0.8876000046730042,0.8034999966621399
89,0.8778462789999821,10,9,0.01,0.8885999917984009,0.805400013923645
90,0.8465699089999816,1,10,0.01,0.8889999985694885,0.8054999709129333
91,0.9328873429999476,2,10,0.01,0.8870000243186951,0.8051999807357788
92,1.2710108690000652,3,10,0.01,0.8903999924659729,0.8073999881744385
93,1.2697963220000474,4,10,0.01,0.886900007724762,0.8047000169754028
94,0.8286891029999879,5,10,0.01,0.8916000127792358,0.8083000183105469
95,0.8357344429999785,6,10,0.01,0.8870999813079834,0.8051999807357788
96,0.8350832070000251,7,10,0.01,0.8894000053405762,0.8044000267982483
97,1.2607494660001066,8,10,0.01,0.8889999985694885,0.8055999875068665
98,1.0839263090000486,9,10,0.01,0.8866999745368958,0.8052999973297119
99,0.8593983060000028,10,10,0.01,0.8853999972343445,0.8037999868392944
100,1.2697113730000638,1,1,0.02,0.9096999764442444,0.8246999979019165
101,0.8606609600000183,2,1,0.02,0.911300003528595,0.822700023651123
102,0.8645047219999924,3,1,0.02,0.910099983215332,0.8223000168800354
103,0.8655789420000701,4,1,0.02,0.9139999747276306,0.8248000144958496
104,1.055595973000095,5,1,0.02,0.9114000201225281,0.823199987411499
105,1.1330965639999704,6,1,0.02,0.9128999710083008,0.8234999775886536
106,0.8558482700000241,7,1,0.02,0.9157000184059143,0.8256999850273132
107,0.8764393630000313,8,1,0.02,0.9103000164031982,0.8223999738693237
108,0.8711409439999898,9,1,0.02,0.9120000004768372,0.8238999843597412
109,0.8707210249999662,10,1,0.02,0.9121999740600586,0.8226000070571899
110,0.8721683400000302,1,2,0.02,0.9168999791145325,0.826200008392334
111,0.8740185330000259,2,2,0.02,0.9096999764442444,0.8213000297546387
112,0.8985399669999197,3,2,0.02,0.9150999784469604,0.8252999782562256
113,0.8911054030000969,4,2,0.02,0.9128999710083008,0.8240000009536743
114,0.8740775260000646,5,2,0.02,0.9060999751091003,0.8202000260353088
115,0.8674037370000178,6,2,0.02,0.9096999764442444,0.8217999935150146
116,0.861455693000039,7,2,0.02,0.9175999760627747,0.8263000249862671
117,0.8594345860000203,8,2,0.02,0.9160000085830688,0.8269000053405762
118,0.869403841999997,9,2,0.02,0.9043999910354614,0.819599986076355
119,0.8714047230000688,10,2,0.02,0.9125000238418579,0.8241000175476074
120,0.8870514300000423,1,3,0.02,0.909600019454956,0.8215000033378601
121,0.8644607359999554,2,3,0.02,0.909500002861023,0.822700023651123
122,0.9291815650000217,3,3,0.02,0.9088000059127808,0.8215000033378601
123,0.8575419620000275,4,3,0.02,0.9099000096321106,0.820900022983551
124,0.8569576060000372,5,3,0.02,0.9187999963760376,0.8274999856948853
125,1.278285837999988,6,3,0.02,0.9135000109672546,0.8238000273704529
126,1.1933915570000408,7,3,0.02,0.9124000072479248,0.8227999806404114
127,1.2736492899999803,8,3,0.02,0.9139999747276306,0.8240000009536743
128,0.8750151819999701,9,3,0.02,0.9107999801635742,0.8230999708175659
129,0.8722527730000138,10,3,0.02,0.9122999906539917,0.8238000273704529
130,0.870767203000014,1,4,0.02,0.9118000268936157,0.8233000040054321
131,0.8672576750000189,2,4,0.02,0.9156000018119812,0.8235999941825867
132,0.8686304319999181,3,4,0.02,0.9161999821662903,0.8278999924659729
133,0.9752571530000296,4,4,0.02,0.9150000214576721,0.8256000280380249
134,0.9448066370000561,5,4,0.02,0.9136000275611877,0.8240000009536743
135,0.8597485870000128,6,4,0.02,0.9089999794960022,0.8222000002861023
136,0.8610730269999749,7,4,0.02,0.9118000268936157,0.8234999775886536
137,0.9596429230000467,8,4,0.02,0.9110000133514404,0.8215000033378601
138,1.2330494010000166,9,4,0.02,0.9039999842643738,0.8185999989509583
139,0.8819397449999542,10,4,0.02,0.9132000207901001,0.8237000107765198
140,1.2771431440000924,1,5,0.02,0.9104999899864197,0.8233000040054321
141,0.9555861720000394,2,5,0.02,0.9120000004768372,0.8234000205993652
142,1.2261399569999867,3,5,0.02,0.9142000079154968,0.8248000144958496
143,0.8586061609998978,4,5,0.02,0.9144999980926514,0.8230999708175659
144,1.274648979000176,5,5,0.02,0.9086999893188477,0.8208000063896179
145,1.2755451689999973,6,5,0.02,0.90420001745224,0.8180999755859375
146,1.2764791970000715,7,5,0.02,0.9041000008583069,0.8184000253677368
147,0.8698972529998628,8,5,0.02,0.9139999747276306,0.8252000212669373
148,0.8712605180000992,9,5,0.02,0.9162999987602234,0.8267999887466431
149,0.8733950179998828,10,5,0.02,0.9111999869346619,0.8223999738693237
150,0.861826358000144,1,6,0.02,0.9192000031471252,0.8299999833106995
151,1.196836820000044,2,6,0.02,0.9132999777793884,0.8241000175476074
152,0.8604267739999614,3,6,0.02,0.9140999913215637,0.8245999813079834
153,1.278494222999825,4,6,0.02,0.9096999764442444,0.8230000138282776
154,0.8702556330001698,5,6,0.02,0.9132999777793884,0.8251000046730042
155,0.9003107539999746,6,6,0.02,0.9169999957084656,0.8263999819755554
156,0.8753279620000285,7,6,0.02,0.9052000045776367,0.8191999793052673
157,0.8879619770000318,8,6,0.02,0.9129999876022339,0.823199987411499
158,1.2670983840000645,9,6,0.02,0.9179999828338623,0.8266000151634216
159,1.0722752879999007,10,6,0.02,0.914900004863739,0.8252000212669373
160,1.2810326830001486,1,7,0.02,0.9090999960899353,0.8216999769210815
161,0.8681008260000453,2,7,0.02,0.9092000126838684,0.8217999935150146
162,0.8742571390000649,3,7,0.02,0.9077000021934509,0.8202999830245972
163,0.8693924169999718,4,7,0.02,0.9103000164031982,0.822700023651123
164,0.8784345279998433,5,7,0.02,0.9154999852180481,0.8259000182151794
165,0.8751634269999613,6,7,0.02,0.9101999998092651,0.8224999904632568
